city,state,zip,address,type,year built,heat type,cooling type,garage type,HOA cost,sqft,price per sqft,buyers fee,listing price
Troutdale,OR,97060,3840-SE-Clark-Ct,"Residential, single family residence",Built in 1976,"Forced air, wood stove, fireplace(s)",Central air,2 Attached garage spaces,$265 annually HOA fee,"10,018 sqft",$257 price/sqft,2.25% buyers agency fee,515000
Oswego,OR,97034,200-Burnham-Rd-UNIT-306-Lake,"Residential, condominium",Built in 1966,"Zoned, fireplace(s)",No data,1 Garage space,0,$668 monthly HOA fee,$284 price/sqft,2.5% buyers agency fee,340000
Troutdale,OR,97060,3835-SE-Pelton-Ave,"Residential, single family residence",Built in 1975,Forced air 90,Central air,2 Attached garage spaces,$300 annually HOA fee,"6,534 sqft",$237 price/sqft,2.25% buyers agency fee,539900
Seattle,WA,98119,500-W-Roy-St-APT-206,Condominium,Built in 1982,"Fireplace(s), wall furnace",None,1 Garage space,0,$668 monthly HOA fee,$593 price/sqft,2.5% buyers agency fee,634999
Tacoma,WA,98402,1515-Dock-St-UNIT-514,Condominium,Built in 2008,"Fireplace(s), forced air, high efficiency (unspecified)","Central air, forced air",2 Garage spaces,0,$671 monthly HOA fee,$546 price/sqft,2.5% buyers agency fee,920000
Bothell,WA,98011,15300-112th-Ave-NE-UNIT-C204,Condominium,Built in 1999,"Fireplace(s), wall furnace",None,2 Garage spaces,0,$688 monthly HOA fee,$414 price/sqft,2.5% buyers agency fee,495950
Vancouver,WA,98660,701-Columbia-St-APT-312,"Residential, condominium",Built in 2004,Hot water,Evaporative cooling,"Off street, secured, condo garage (rent), garage available",0,$693 monthly HOA fee,$409 price/sqft,2.25% buyers agency fee,345500
Seattle,WA,98116,1526-Alki-Ave-SW-APT-304,Condominium,Built in 1986,"Fireplace(s), wall furnace",Insert,1 Garage space,0,$703 monthly HOA fee,$577 price/sqft,2.5% buyers agency fee,700000
Seattle,WA,98122,2001-E-Yesler-Way-UNIT-13,Condominium,Built in 1980,"Fireplace(s), wall furnace",None,1 Carport space,0,$723 monthly HOA fee,$472 price/sqft,3% buyers agency fee,515000
Portland,OR,97229,3058-NW-Montara-Loop,"Residential, condominium",Built in 2014,"Forced air 95 plus, fireplace(s)",Central air,Attached garage,0,$732 monthly HOA fee,$380 price/sqft,2.25% buyers agency fee,565000
Vancouver,WA,98662,5304-NE-84th-Loop-APT-20,"Residential, condominium, townhouse",Built in 1983,Wall furnace,No data,1 Garage space,$300 monthly HOA fee,No data,$260 price/sqft,2.25% buyers agency fee,270000
Vancouver,WA,98682,17504-NE-34th-St,"Residential, single family residence",Built in 2006,Forced air 90,Central air,3 Garage spaces,$69 quarterly HOA fee,"7,840 sqft",$212 price/sqft,2.25% buyers agency fee,835000
Seattle,WA,98117,6535-Seaview-Ave-NW-APT-110B,Condominium,Built in 1968,Baseboard,None,1 Open parking space,0,$733 monthly HOA fee,$721 price/sqft,3% buyers agency fee,580000
