city,state,zip,address,type,year built,heat type,cooling type,garage type,HOA cost,sqft,price per sqft,buyers fee,listing price
Tacoma,WA,98408,6138-Yakima-Ave,Single family residence,Built in 1955,"Fireplace(s), ductless hp-mini split, wall furnace","Ductless hp-mini split, wall unit(s)",1 Garage space,0,"7,148 sqft",$312 price/sqft,2.5% buyers agency fee,499900
Seattle,WA,98112,609-34th-Ave-E,Single family residence,Built in 2001,Forced air,Central air,2 Attached garage spaces,0,"7,200 sqft",$931 price/sqft,2.5% buyers agency fee,5800000
Burien,WA,98168,505-S-140th-St,Single family residence,Built in 1957,"Fireplace(s), baseboard",None,1 Attached garage space,0,"7,200 sqft",$383 price/sqft,2.5% buyers agency fee,569950
Salem,OR,97304,501-Kingwood-Dr-NW,Single family residence,Built in 1961,Electric,No data,2 Carport spaces,0,"7,236 sqft",$162 price/sqft,2.25% buyers agency fee,399900
Tacoma,WA,98404,716-E-49th-St,Single family residence,Built in 1952,"Ductless hp-mini split, wall furnace",Ductless hp-mini split,1 Garage space,0,"7,278 sqft",$348 price/sqft,2.5% buyers agency fee,405000
Portland,OR,97219,6948-SW-33rd-Pl,"Residential, single family residence",Built in 1920,Forced air,No data,Off street,0,"7,405 sqft",$557 price/sqft,2.25% buyers agency fee,535000
Seattle,WA,98115,7515-21st-Ave-NE,Townhouse,Built in 2023,"Fireplace(s), ductless hp-mini split, wall furnace",Ductless hp-mini split,2 Garage spaces,$54 monthly HOA fee,No data,$593 price/sqft,2.5% buyers agency fee,1450000
Hillsboro,OR,97123,2828-SE-49th-Ave,"Residential, single family residence",Built in 1998,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"7,405 sqft",$316 price/sqft,2.25% buyers agency fee,465000
Oswego,OR,97035,3351-Fir-Ridge-Rd-Lake,"Residential, single family residence",Built in 2023,Forced air 95 plus,Central air,2 Attached garage spaces,0,"7,405 sqft",$562 price/sqft,2.25% buyers agency fee,2399000
Vancouver,WA,98685,11314-NW-7th-Ave,"Residential, single family residence",Built in 1991,"Forced air, fireplace(s)",Heat pump,2 Attached garage spaces,0,"7,405 sqft",$317 price/sqft,2.25% buyers agency fee,599000
Portland,OR,97202,6707-SE-34th-Ave,"Residential, single family residence",Built in 1927,"Hot water, radiant, fireplace(s)",Window unit(s),2 Garage spaces,0,"7,405 sqft",$298 price/sqft,2.5% buyers agency fee,899000
Seattle,WA,98122,1711-20th-Ave-D,Single family residence,Built in 2023,"Ductless hp-mini split, hrv/erv system, tankless water heater","Ductless hp-mini split, hepa air filtration",1 Attached garage space,$250 monthly HOA fee,727.45 Sqft,$645 price/sqft,2.5% buyers agency fee,1250000
Seattle,WA,98136,5630-Beach-Dr-SW,Single family residence,Built in 2022,Fireplace(s),"Forced air, heat pump, central air",2 Attached garage spaces,$125 monthly HOA fee,"7,457 sqft",$783 price/sqft,2.5% buyers agency fee,3595000
Portland,OR,97206,5119-SE-68th-Ave,"Residential, single family residence",Built in 1952,"Baseboard, wall furnace",None,1 Garage space,0,"7,405 sqft",$215 price/sqft,2.5% buyers agency fee,395000
Portland,OR,97221,4775-SW-Julia-St,"Residential, single family residence",Built in 1972,"Baseboard, fireplace(s)",Wall unit(s),2 Attached garage spaces,0,"7,405 sqft",$381 price/sqft,2.5% buyers agency fee,495000
Portland,OR,97219,9100-SW-23rd-Dr,"Residential, single family residence",Built in 1950,"Forced air 95 plus, fireplace(s)",Central air,1 Attached garage space,0,"7,405 sqft",$752 price/sqft,2.5% buyers agency fee,599999
Portland,OR,97219,3128-SW-Spring-Garden-St,"Residential, single family residence",Built in 1978,"Forced air 95 plus, fireplace(s)",No data,2 Attached garage spaces,0,"7,405 sqft",$316 price/sqft,2.5% buyers agency fee,579000
Portland,OR,97212,213-NE-Graham-St,"Residential, single family residence",Built in 1946,Forced air,Central air,Attached garage,0,"7,405 sqft",$472 price/sqft,2.5% buyers agency fee,565000
Portland,OR,97219,6902-SW-2nd-Ave,"Residential, single family residence",Built in 1973,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"7,405 sqft",$278 price/sqft,2.5% buyers agency fee,664000
Beaverton,OR,97007,8299-SW-159th-Pl,"Residential, single family residence",Built in 1989,"Forced air, fireplace(s)",No data,2 Attached garage spaces,0,"7,405 sqft",$395 price/sqft,2.5% buyers agency fee,589000
Tigard,OR,97223,11700-SW-98th-Ave,"Residential, single family residence",Built in 1920,Forced air,No data,Open parking,0,"7,405 sqft",$201 price/sqft,2.5% buyers agency fee,565000
Eugene,OR,97405,1632-E-43rd-Ave,"Residential, single family residence",Built in 1978,"Forced air, zoned, fireplace(s)",Window unit(s),Open parking,0,"7,405 sqft",$317 price/sqft,2.5% buyers agency fee,609000
Springfield,OR,97477,1448-A-St,"Residential, single family residence",Built in 1940,Wall furnace,None,2 Garage spaces,0,"7,405 sqft",$365 price/sqft,2.5% buyers agency fee,389900
Springfield,OR,97477,3045-Pheasant-Blvd,"Residential, single family residence",Built in 1961,"Energy star qualified equipment, forced air",Energy star qualified equipment,2 Attached garage spaces,0,"7,405 sqft",$329 price/sqft,2.5% buyers agency fee,399999
Salem,OR,97302,2635-Gilbert-St-S,Single family residence,Built in 2024,"Natural gas, forced air",Central air,2 Attached garage spaces,0,"7,405 sqft",$221 price/sqft,2.5% buyers agency fee,679000
Bothell,WA,98012,15711-36th-Dr-SE,Single family residence,Built in 2006,"Fireplace(s), forced air",None,2 Attached garage spaces,$550 annually HOA fee,"3,920 sqft",$444 price/sqft,2.5% buyers agency fee,1199950
Vancouver,WA,98664,8407-Mount-Thielsen-Ave,"Residential, single family residence",Built in 1951,Wall furnace,Other,1 Attached garage space,0,"7,405 sqft",$346 price/sqft,2% buyers agency fee,439000
Tacoma,WA,98404,5111-McKinley-Ave,Single family residence,Built in 1921,Forced air,Forced air,2 Garage spaces,0,"7,440 sqft",$363 price/sqft,2.5% buyers agency fee,399950
Seattle,WA,98115,8811-2nd-Ave-NE,Single family residence,Built in 1953,"Fireplace(s), forced air, radiant",Central air,1 Carport space,0,"7,501 sqft",$465 price/sqft,2.5% buyers agency fee,1199000
Tacoma,WA,98422,5530-Frances-Ave-NE,Single family residence,Built in 1962,"Fireplace(s), forced air",Central air,"Driveway, off street",0,"7,501 sqft",$401 price/sqft,2% buyers agency fee,1100000
Bothell,WA,98021,22525-41st-Dr,Single family residence,Built in 2018,"Fireplace(s), 90%+ high efficiency, forced air, tankless water heater",Central air,2 Attached garage spaces,$62 monthly HOA fee,"3,920 sqft",$489 price/sqft,2.5% buyers agency fee,1369000
Bothell,WA,98021,3604-222nd-Pl-SE,Single family residence,Built in 2010,"Fireplace(s), forced air, heat pump","Central air, forced air",3 Attached garage spaces,$55 monthly HOA fee,"5,662 sqft",$497 price/sqft,2.5% buyers agency fee,1470000
Tacoma,WA,98404,4847-E-L-St,Single family residence,Built in 1967,"Fireplace(s), baseboard",None,2 Attached garage spaces,0,"7,701 sqft",$400 price/sqft,2.5% buyers agency fee,450000
Portland,OR,97236,2841-SE-174th-Ave,"Residential, single family residence",Built in 1946,"Forced air, fireplace(s)",No data,Open parking,0,"7,840 sqft",$114 price/sqft,2.25% buyers agency fee,399985
Portland,OR,97219,3611-SW-Arnold-St,"Residential, single family residence",Built in 1995,"Forced air 95 plus, fireplace(s)",Central air,2 Attached garage spaces,0,"7,840 sqft",$314 price/sqft,2.25% buyers agency fee,679000
Tigard,OR,97223,13072-SW-Morningstar-Dr,"Residential, single family residence",Built in 1998,"Forced air, fireplace(s)",Central air,4 Attached garage spaces,0,"7,840 sqft",$257 price/sqft,2.25% buyers agency fee,949900
Vancouver,WA,98665,1902-NE-90th-Cir,"Residential, single family residence",Built in 2013,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"7,840 sqft",$240 price/sqft,2.25% buyers agency fee,549000
Vancouver,WA,98685,14615-NW-20th-Ave,"Residential, single family residence",Built in 2004,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"7,840 sqft",$238 price/sqft,2.25% buyers agency fee,589000
Portland,OR,97230,16452-NE-Fargo-St,"Residential, single family residence",Built in 1979,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"7,840 sqft",$218 price/sqft,2.5% buyers agency fee,495000
Oswego,OR,97034,21-D-Ave-1-Lake,"Residential, condominium, townhouse",Built in 2023,"Forced air 95 plus, fireplace(s)",Central air,2 Attached garage spaces,"$1,298 monthly HOA fee",No data,$940 price/sqft,2.7% buyers agency fee,2488722
Portland,OR,97216,2029-SE-89th-Ave,"Residential, single family residence",Built in 1959,"Baseboard, fireplace(s)",None,1 Attached garage space,0,"7,840 sqft",$274 price/sqft,2.5% buyers agency fee,575000
Eugene,OR,97402,626-Jacquelyn-Ct,"Residential, single family residence",Built in 2007,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,$107 quarterly HOA fee,"4,356 sqft",$242 price/sqft,2.75% buyers agency fee,415000
Portland,OR,97239,3221-SW-Hamilton-Ct,"Residential, single family residence",Built in 2015,"Forced air, forced air 95 plus",Central air,2 Attached garage spaces,0,"7,840 sqft",$459 price/sqft,2.5% buyers agency fee,1695000
Beaverton,OR,97006,970-NW-176th-Ave,"Residential, single family residence",Built in 1979,Forced air,Central air,2 Attached garage spaces,0,"7,840 sqft",$288 price/sqft,2.5% buyers agency fee,635000
Beaverton,OR,97005,4175-SW-Tualaway-Ave,"Residential, single family residence",Built in 1955,Forced air,No data,Open parking,0,"7,840 sqft",$211 price/sqft,2.5% buyers agency fee,545000
Eugene,OR,97404,2979-Brett-Loop,"Residential, single family residence",Built in 1993,"Forced air, heat pump",Heat pump,2 Attached garage spaces,0,"7,840 sqft",$287 price/sqft,2.5% buyers agency fee,475000
Eugene,OR,97401,3755-Keeler-Ave,"Residential, single family residence",Built in 1976,Radiant,Window unit(s),2 Attached garage spaces,0,"7,840 sqft",$225 price/sqft,2.5% buyers agency fee,450000
Eugene,OR,97404,1796-Grove-St,"Residential, single family residence",Built in 1956,"Forced air, heat pump",No data,1 Attached garage space,0,"7,840 sqft",$374 price/sqft,2.5% buyers agency fee,390000
Eugene,OR,97403,1185-E-28th-Ave,"Residential, single family residence",Built in 1947,"Forced air, radiant, fireplace(s)",No data,Open parking,0,"7,840 sqft",$325 price/sqft,2.5% buyers agency fee,565000
Springfield,OR,97477,1410-T-St,"Residential, single family residence",Built in 1995,Heat pump,Heat pump,2 Attached garage spaces,0,"7,840 sqft",$314 price/sqft,2.5% buyers agency fee,385000
Springfield,OR,97478,349-72nd-Pl,"Residential, single family residence",Built in 1978,"Forced air, heat pump, fireplace(s)",Heat pump,2 Attached garage spaces,0,"7,840 sqft",$347 price/sqft,2.5% buyers agency fee,430000
Springfield,OR,97478,889-S-45th-Pl,"Residential, single family residence",Built in 1993,Forced air,Central air,1 Attached garage space,0,"7,840 sqft",$322 price/sqft,2.5% buyers agency fee,459000
Corvallis,OR,97330,1835-NW-Division-Pl,Single family residence,Built in 1963,"Electric, forced air",No data,2 Attached garage spaces,0,"7,840 sqft",$287 price/sqft,2.5% buyers agency fee,525000
Salem,OR,97302,898-Woodmansee-Ct-SE,"Residential, single family residence",Built in 1962,Forced air,No data,2 Attached garage spaces,0,"7,840 sqft",$363 price/sqft,2.5% buyers agency fee,398000
Milwaukie,OR,97222,6636-SE-Madrona-Dr,"Residential, single family residence",Built in 1970,"Ceiling, heat pump, mini split",Heat pump,1 Attached garage space,0,"7,840 sqft",$463 price/sqft,2.7% buyers agency fee,444555
Salem,OR,97304,680-Clarmount-St-NW,Single family residence,Built in 1959,Forced air,Central air,2 Attached garage spaces,0,"7,841 sqft",$250 price/sqft,2.25% buyers agency fee,435000
Salem,OR,97306,2556-Dragonfly-Ct-SE,Single family residence,Built in 2016,"Natural gas, forced air",Central air,2 Attached garage spaces,0,"7,841 sqft",$291 price/sqft,2.5% buyers agency fee,620000
Burien,WA,98168,12969-10th-Ave-S,Single family residence,Built in 2013,"Fireplace(s), baseboard, ductless hp-mini split, forced air","Central air, ductless hp-mini split",2 Attached garage spaces,0,"7,875 sqft",$294 price/sqft,2.5% buyers agency fee,1099950
Hillsboro,OR,97123,4307-SE-61st-Ave,"Residential, single family residence",Built in 2023,"Energy star qualified equipment, forced air",Central air,3 Attached garage spaces,$108 monthly HOA fee,No data,$364 price/sqft,2% buyers agency fee,1275000
Hillsboro,OR,97124,3992-SE-76th-Ave,"Residential, single family residence",Built in 2023,"Energy star qualified equipment, heat pump",Central air,2 Attached garage spaces,$100 monthly HOA fee,"6,098 sqft",$323 price/sqft,2% buyers agency fee,984950
Seattle,WA,98133,14310-Midvale-Ave-N,Townhouse,Built in 2016,Wall furnace,Ductless hp-mini split,None,0,718.74 Sqft,$420 price/sqft,2.5% buyers agency fee,522495
Seattle,WA,98107,5915-26th-Ave-NW,Townhouse,Built in 2016,90%+ high efficiency,90%+ high efficiency,Off street,0,731.81 Sqft,$634 price/sqft,3% buyers agency fee,850000
Seattle,WA,98107,2636-NW-64th-St-UNIT-B,Single family residence,Built in 2023,"Ductless hp-mini split, heat pump, radiant",Ductless hp-mini split,Driveway,0,736.16 Sqft,$584 price/sqft,2.5% buyers agency fee,820000
Seattle,WA,98109,1900-Westlake-Ave-N-B17,Single family residence,Built in 1980,Insert,Wall unit(s),Off street,0,775.37 Sqft,$517 price/sqft,3% buyers agency fee,399950
Seattle,WA,98105,4828-NE-40th-St,Single family residence,Built in 1930,"Fireplace(s), radiant",Radiant,4 Garage spaces,0,"8,001 sqft",$866 price/sqft,2.5% buyers agency fee,2495000
Burien,WA,98166,1450-SW-149th-St,Single family residence,Built in 1967,"Fireplace(s), forced air",None,2 Attached garage spaces,0,"8,041 sqft",$508 price/sqft,1.5% buyers agency fee,995000
Tacoma,WA,98408,415-S-48th-St,Single family residence,Built in 1957,"Fireplace(s), forced air, heat pump, wall furnace",Forced air,2 Attached garage spaces,0,"8,062 sqft",$218 price/sqft,3.0% buyers agency fee,579800
Vancouver,WA,98682,14009-NE-43rd-St,"Residential, single family residence",Built in 1976,Zoned,Window unit(s),2 Attached garage spaces,0,"8,276 sqft",$405 price/sqft,2.2% buyers agency fee,414900
Salem,OR,97306,2244-Tuscana-Ave-S,Single family residence,Built in 2011,"Natural gas, forced air",Central air,2 Attached garage spaces,$50 monthly HOA fee,"6,970 sqft",$303 price/sqft,2% buyers agency fee,579900
Tigard,OR,97223,12822-SW-Morningstar-Dr,"Residential, single family residence",Built in 1998,"Forced air, fireplace(s)",Central air,3 Attached garage spaces,0,"8,276 sqft",$239 price/sqft,2.25% buyers agency fee,849900
Salem,OR,97304,3184-Elliot-St-NW,Single family residence,Built in 2006,No data,No data,2 Attached garage spaces,$54 monthly HOA fee,"6,969 sqft",$175 price/sqft,2% buyers agency fee,649900
Vancouver,WA,98661,3319-Fairmount-Ave,"Residential, single family residence",Built in 1927,Wall furnace,No data,Open parking,0,"8,276 sqft",$249 price/sqft,2.25% buyers agency fee,450000
Vancouver,WA,98665,6704-NW-6th-Ave,"Residential, single family residence",Built in 1959,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"8,276 sqft",$218 price/sqft,2.25% buyers agency fee,519900
Vancouver,WA,98685,3600-NW-107th-St,"Residential, single family residence",Built in 2015,"Forced air 95 plus, fireplace(s)",Central air,3 Attached garage spaces,0,"8,276 sqft",$336 price/sqft,2.25% buyers agency fee,899900
Vancouver,WA,98665,7127-NE-27th-Ave,"Residential, single family residence",Built in 2023,Heat pump,Heat pump,2 Attached garage spaces,$60 monthly HOA fee,No data,$291 price/sqft,2% buyers agency fee,499995
Vancouver,WA,98686,3406-NE-127th-St,"Residential, single family residence",Built in 1990,"Heat pump, fireplace(s)",Heat pump,2 Attached garage spaces,0,"8,276 sqft",$326 price/sqft,2.25% buyers agency fee,585000
Vancouver,WA,98661,6805-NE-70th-St,"Residential, single family residence",Built in 2016,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"8,276 sqft",$340 price/sqft,2.25% buyers agency fee,640000
Portland,OR,97229,327-NW-Vesper-Pl,"Residential, single family residence",Built in 2000,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"8,276 sqft",$309 price/sqft,2.5% buyers agency fee,675000
Vancouver,WA,98682,13911-NE-101st-St,"Residential, single family residence",Built in 2013,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,$56 monthly HOA fee,"4,791 sqft",$227 price/sqft,2% buyers agency fee,624900
Beaverton,OR,97005,13000-SW-Walker-Rd,"Residential, single family residence",Built in 1959,Forced air,Central air,1 Attached garage space,0,"8,276 sqft",$453 price/sqft,2.5% buyers agency fee,434900
Vancouver,WA,98682,16705-NE-83rd-St,"Residential, single family residence",Built in 2023,"Energy star qualified equipment, heat pump, heat recovery ventilator, fireplace(s), hea texchanger","Heat pump, energy star qualified equipment",3 Attached garage spaces,$70 monthly HOA fee,"5,662 sqft",$367 price/sqft,2% buyers agency fee,1028000
Prairie,WA,98606,13522-NE-115th-Ct-Brush,"Residential, single family residence",Built in 2023,"Energy star qualified equipment, heat pump",Heat pump,2 Attached garage spaces,$35 monthly HOA fee,No data,$296 price/sqft,2% buyers agency fee,647990
Olympia,WA,98502,2512-Walnut-Loop-NW,Single family residence,Built in 1989,"Fireplace(s), forced air",Forced air,Attached garage,$125 annually HOA fee,0.27 Acres,$301 price/sqft,2% buyers agency fee,599000
Tacoma,WA,98407,4802-N-Mildred-St,Single family residence,Built in 2022,"Fireplace(s), 90%+ high efficiency, forced air","Central air, forced air",4 Attached garage spaces,$150 monthly HOA fee,0.57 Acres,$731 price/sqft,2% buyers agency fee,3650000
Milwaukie,OR,97222,4061-SE-Angela-Way,"Residential, single family residence",Built in 1992,"Forced air, fireplace(s)",Heat pump,2 Attached garage spaces,0,"8,276 sqft",$277 price/sqft,2.5% buyers agency fee,679000
Eugene,OR,97401,3244-Queens-East-St,"Residential, single family residence",Built in 1989,"Heat pump, fireplace(s)",Central air,2 Attached garage spaces,0,"8,276 sqft",$332 price/sqft,2.5% buyers agency fee,520000
Springfield,OR,97478,595-S-68th-Pl,"Residential, single family residence",Built in 1978,"Forced air, fireplace(s)",None,2 Attached garage spaces,0,"8,276 sqft",$206 price/sqft,2.5% buyers agency fee,485000
Portland,OR,97233,1620-SE-148th-Ave,"Residential, single family residence",Built in 1963,Baseboard,Window unit(s),1 Attached garage space,0,"8,276 sqft",$347 price/sqft,2% buyers agency fee,325000
Seattle,WA,98125,12750-27th-Ave-NE,Single family residence,Built in 1979,"Fireplace(s), forced air",None,2 Attached garage spaces,0,"8,402 sqft",$396 price/sqft,2.5% buyers agency fee,1188000
Salem,OR,97302,720-Browning-Ave-SE,Single family residence,Built in 1927,"Natural gas, forced air",Central air,2 Garage spaces,0,"8,454 sqft",$180 price/sqft,2.5% buyers agency fee,460000
Seattle,WA,98109,1214-Warren-Ave-N,Single family residence,Built in 1902,"Fireplace(s), other – see remarks",Other – see remarks,"Rv parking, driveway",0,"8,598 sqft",$732 price/sqft,2.5% buyers agency fee,7300000
Seattle,WA,98133,535-SW-125th-St-13,Single family residence,Built in 2023,"Fireplace(s), 90%+ high efficiency",90%+ high efficiency,2 Attached garage spaces,$65 monthly HOA fee,"6,860 sqft",$305 price/sqft,2% buyers agency fee,938950
Bothell,WA,98012,18420-6th-Ave-W-NCV28,Single family residence,Built in 2023,"Fireplace(s), 90%+ high efficiency, forced air, heat pump","Central air, hepa air filtration",2 Attached garage spaces,$65 monthly HOA fee,"3,598 sqft",$495 price/sqft,2% buyers agency fee,1154995
Portland,OR,97230,1236-NE-160th-Ave,"Residential, single family residence",Built in 1982,Forced air,None,2 Attached garage spaces,0,"8,712 sqft",$383 price/sqft,2.25% buyers agency fee,500000
Bothell,WA,98021,21324-37th-Ave-SE,Single family residence,Built in 2006,"Fireplace(s), forced air",None,3 Attached garage spaces,$350 annually HOA fee,"4,356 sqft",$481 price/sqft,2% buyers agency fee,1425000
Bothell,WA,98021,4328-228th-St-SE-MC8,Single family residence,Built in 2023,"Fireplace(s), heat pump","90%+ high efficiency, heat pump",2 Attached garage spaces,$237 monthly HOA fee,"3,598 sqft",$589 price/sqft,2% buyers agency fee,1374995
Hillsboro,OR,97124,356-NE-17th-Ave,"Residential, single family residence",Built in 1972,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"8,712 sqft",$264 price/sqft,2.25% buyers agency fee,584000
Tigard,OR,97223,13719-SW-Westridge-Ter,"Residential, single family residence",Built in 1994,"Forced air, fireplace(s)",Window unit(s),2 Attached garage spaces,0,"8,712 sqft",$313 price/sqft,2.25% buyers agency fee,799900
Springfield,OR,97477,1370-5th-St,"Residential, single family residence",Built in 1947,Heat pump,Heat pump,1 Garage space,0,"8,712 sqft",$351 price/sqft,2.25% buyers agency fee,419900
Portland,OR,97230,1304-NE-135th-Ave,"Residential, single family residence",Built in 1968,"Forced air, fireplace(s)",No data,2 Attached garage spaces,0,"8,712 sqft",$196 price/sqft,2.5% buyers agency fee,649000
Portland,OR,97210,3105-NW-Rio-Vista-Ter,"Residential, single family residence",Built in 1964,"Energy star qualified equipment, forced air 95 plus, fireplace(s)",None,2 Attached garage spaces,0,"8,712 sqft",$340 price/sqft,2.5% buyers agency fee,899500
Seattle,WA,98116,4007-SW-Maryland-Pl,Single family residence,Built in 2016,"Fireplace(s), 90%+ high efficiency, hot water recirc pump, radiant",None,2 Attached garage spaces,$627 monthly HOA fee,"2,356 sqft",$574 price/sqft,3.0% buyers agency fee,1400000
Milwaukie,OR,97222,12311-SE-River-Rd,"Residential, single family residence",Built in 1925,"Forced air, forced air 95 plus",Air conditioning ready,Open parking,0,"8,712 sqft",$239 price/sqft,2.5% buyers agency fee,475000
Milwaukie,OR,97267,1085-SE-Rimrock-Ln,"Residential, single family residence",Built in 2007,Forced air,Central air,2 Attached garage spaces,0,"8,712 sqft",$321 price/sqft,2.5% buyers agency fee,998000
Oswego,OR,97034,611-Ridgeway-Rd-Lake,"Residential, single family residence",Built in 1955,"Forced air, heat pump, mini split, fireplace(s)",Central air,1 Attached garage space,0,"8,712 sqft",$433 price/sqft,2.5% buyers agency fee,2099000
Eugene,OR,97404,367-Maxwell-Rd,"Residential, single family residence",Built in 1963,Forced air,Heat pump,2 Attached garage spaces,0,"8,712 sqft",$307 price/sqft,2.5% buyers agency fee,499000
Springfield,OR,97477,645-18th-St,"Residential, single family residence",Built in 1949,"Ductless, zoned",Heat pump,2 Attached garage spaces,0,"8,712 sqft",$320 price/sqft,2.5% buyers agency fee,365000
Vancouver,WA,98682,7408-NE-123rd-Ct,"Residential, single family residence",Built in 1990,"Wall furnace, fireplace(s)",Window unit(s),2 Attached garage spaces,0,"8,712 sqft",$287 price/sqft,2.5% buyers agency fee,499900
Portland,OR,97230,12501-NE-Flanders-St,"Residential, single family residence",Built in 1960,"Forced air, fireplace(s)",None,2 Attached garage spaces,0,"8,712 sqft",$250 price/sqft,2.7% buyers agency fee,385000
Eugene,OR,97402,2180-W-Irwin-Way,"Residential, single family residence",Built in 2003,Heat pump,Heat pump,2 Attached garage spaces,0,"8,712 sqft",$273 price/sqft,2.75% buyers agency fee,437000
Seattle,WA,98148,613-S-188th-St,Single family residence,Built in 1966,"Fireplace(s), forced air",None,2 Attached garage spaces,0,"8,790 sqft",$420 price/sqft,2.5% buyers agency fee,524950
Eugene,OR,97405,4431-Fox-Hollow-Rd-APT-1,"Residential, townhouse",Built in 1975,"Ceiling, ductless, mini split",Heat pump,1 Garage space,$365 monthly HOA fee,871.20 Sqft,$275 price/sqft,3% buyers agency fee,300000
Tacoma,WA,98422,3134-43rd-Ave-NE,Single family residence,Built in 2002,"Fireplace(s), forced air, heat pump","Central air, heat pump",3 Attached garage spaces,0,"8,982 sqft",$297 price/sqft,2% buyers agency fee,774750
Corvallis,OR,97330,3485-NW-Dimple-Hill-Rd,Single family residence,Built in 2005,"Natural gas, forced air",Central air,3 Attached garage spaces,0,8.15 Acres,$259 price/sqft,2.0% buyers agency fee,1999000
Eugene,OR,97408,2506-Mountain-Ter,"Residential, single family residence",Built in 2007,"Forced air, fireplace(s)",No data,1 Attached garage space,$167 quarterly HOA fee,"3,484 sqft",$224 price/sqft,3% buyers agency fee,523800
Seattle,WA,98122,734-18th-Ave,Townhouse,Built in 2023,Ductless hp-mini split,Ductless hp-mini split,None,0,801.50 Sqft,$694 price/sqft,3% buyers agency fee,799900
Springfield,OR,97478,37691-Upper-Camp-Creek-Rd,"Residential, single family residence",Built in 1989,"Forced air, heat pump, fireplace(s)",Heat pump,6 Attached garage spaces,0,83.88 Acres,$792 price/sqft,2.5% buyers agency fee,4750000
Corvallis,OR,97330,3107-NW-Shooting-Star-Dr,Single family residence,Built in 2002,"Electric, forced air",Central air,2 Attached garage spaces,$190 monthly HOA fee,"1,742 sqft",$278 price/sqft,3% buyers agency fee,435000
Seattle,WA,98103,4315-Woodland-Park-Ave-N-C,Townhouse,Built in 2023,"Ductless hp-mini split, wall furnace",Ductless hp-mini split,Attached garage,0,849.42 Sqft,$683 price/sqft,2.5% buyers agency fee,1149950
Vancouver,WA,98661,6917-NE-55th-St,"Residential, single family residence",Built in 2006,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,$18 monthly HOA fee,"2,613 sqft",$298 price/sqft,3% buyers agency fee,499900
Vancouver,WA,98682,7011-NE-156th-Pl,"Residential, single family residence",Built in 2023,"Forced air, heat pump",Heat pump,2 Attached garage spaces,$336 annually HOA fee,No data,$302 price/sqft,3% buyers agency fee,583900
Eugene,OR,97402,1347-City-View-St,Residential,Built in 1979,Ceiling,No data,2 Attached garage spaces,0,871.20 Sqft,$223 price/sqft,3% buyers agency fee,225000
Seattle,WA,98105,4727-Sand-Point-Way-NE,Single family residence,Built in 1997,High efficiency (unspecified),None,Off street,0,875.56 Sqft,$716 price/sqft,3% buyers agency fee,659000
Seattle,WA,98102,2410-Everett-Ave-E,Single family residence,Built in 2023,Fireplace(s),Ductless hp-mini split,2 Attached garage spaces,0,"9,099 sqft",$721 price/sqft,3% buyers agency fee,2595000
Portland,OR,97239,5225-SW-Menefee-Dr,"Residential, single family residence",Built in 1928,Forced air 95 plus,Wall unit(s),2 Garage spaces,0,"9,147 sqft",$280 price/sqft,2.25% buyers agency fee,985000
Portland,OR,97218,4708-NE-60th-Ave,"Residential, single family residence",Built in 1997,"Forced air, fireplace(s)",Central air,2 Attached garage spaces,0,"9,147 sqft",$378 price/sqft,2.5% buyers agency fee,549900
Portland,OR,97236,3557-SE-151st-Ave,"Residential, single family residence",Built in 1977,"Forced air, fireplace(s)",No data,2 Attached garage spaces,0,"9,147 sqft",$279 price/sqft,2.5% buyers agency fee,495000
Troutdale,OR,97060,1255-SE-Evans-Loop,"Residential, single family residence",Built in 1992,Forced air 95 plus,Central air,2 Attached garage spaces,0,"9,147 sqft",$309 price/sqft,2.5% buyers agency fee,510000
Eugene,OR,97405,2310-Adams-St,"Residential, single family residence",Built in 1962,"Baseboard, heat pump, fireplace(s)",Heat pump,2 Attached garage spaces,0,"9,147 sqft",$235 price/sqft,2.5% buyers agency fee,499000
Eugene,OR,97401,2882-Country-Ln,"Residential, single family residence",Built in 1958,"Ceiling, fireplace(s)",No data,2 Attached garage spaces,0,"9,147 sqft",$286 price/sqft,2.5% buyers agency fee,469000
Springfield,OR,97477,1038-Diamond-St,"Residential, single family residence",Built in 2005,Forced air 95 plus,Central air,2 Attached garage spaces,0,"9,147 sqft",$340 price/sqft,2.5% buyers agency fee,650000
Salem,OR,97301,1195-15th-St-NE,Single family residence,Built in 1928,"Natural gas, forced air",Central air,1 Garage space,0,"9,147 sqft",$217 price/sqft,2.5% buyers agency fee,499900
Salem,OR,97306,748-Boone-Rd-SE,Single family residence,Built in 1974,"Electric, heat pump",No data,Attached garage,0,"9,396 sqft",$263 price/sqft,2.5% buyers agency fee,525000
